scenario_id,generator,start,goal,algorithm,explored,path_length,time_ms,rank
1,kruskal,"7,1","17,15",bfs,339,48,0.269,2
1,kruskal,"7,1","17,15",dfs,356,48,0.267,4
1,kruskal,"7,1","17,15",ucs,343,48,0.435,3
1,kruskal,"7,1","17,15",astar,181,48,0.247,1
2,kruskal,"34,5","37,27",bfs,2437,261,1.803,4
2,kruskal,"34,5","37,27",dfs,1334,261,1.116,1
2,kruskal,"34,5","37,27",ucs,2435,261,3.657,3
2,kruskal,"34,5","37,27",astar,2397,261,4.261,2
3,kruskal,"1,5","13,14",bfs,328,45,0.308,2
3,kruskal,"1,5","13,14",dfs,355,45,0.312,4
3,kruskal,"1,5","13,14",ucs,332,45,0.530,3
3,kruskal,"1,5","13,14",astar,238,45,0.429,1
4,kruskal,"38,1","35,12",bfs,98,24,0.195,3
4,kruskal,"38,1","35,12",dfs,120,24,0.262,4
4,kruskal,"38,1","35,12",ucs,96,24,0.418,2
4,kruskal,"38,1","35,12",astar,45,24,0.228,1
5,kruskal,"41,44","34,26",bfs,1332,103,1.283,3
5,kruskal,"41,44","34,26",dfs,480,103,0.514,1
5,kruskal,"41,44","34,26",ucs,1332,103,2.431,4
5,kruskal,"41,44","34,26",astar,923,103,1.706,2
6,kruskal,"28,37","17,51",bfs,724,61,0.574,4
6,kruskal,"28,37","17,51",dfs,157,61,0.141,1
6,kruskal,"28,37","17,51",ucs,716,61,1.145,3
6,kruskal,"28,37","17,51",astar,316,61,0.551,2
7,kruskal,"0,48","10,44",bfs,73,22,0.081,2
7,kruskal,"0,48","10,44",dfs,106,22,0.112,4
7,kruskal,"0,48","10,44",ucs,74,22,0.136,3
7,kruskal,"0,48","10,44",astar,45,22,0.092,1
8,kruskal,"21,17","9,13",bfs,274,52,0.184,3
8,kruskal,"21,17","9,13",dfs,219,52,0.159,1
8,kruskal,"21,17","9,13",ucs,278,52,0.359,4
8,kruskal,"21,17","9,13",astar,230,52,0.329,2
9,kruskal,"21,6","5,24",bfs,2331,186,3.008,3
9,kruskal,"21,6","5,24",dfs,1121,186,1.307,1
9,kruskal,"21,6","5,24",ucs,2335,186,4.457,4
9,kruskal,"21,6","5,24",astar,1975,186,3.628,2
10,kruskal,"22,54","22,38",bfs,394,42,0.325,4
10,kruskal,"22,54","22,38",dfs,107,42,0.099,1
10,kruskal,"22,54","22,38",ucs,390,42,0.590,3
10,kruskal,"22,54","22,38",astar,177,42,0.300,2
11,kruskal,"2,46","29,34",bfs,967,107,0.675,3
11,kruskal,"2,46","29,34",dfs,862,107,0.641,2
11,kruskal,"2,46","29,34",ucs,969,107,1.377,4
11,kruskal,"2,46","29,34",astar,795,107,1.299,1
12,kruskal,"24,5","35,18",bfs,599,70,0.472,4
12,kruskal,"24,5","35,18",dfs,437,70,0.353,1
