scenario_id,generator,start,goal,algorithm,explored,path_length,time_ms,rank
1,prim,"7,1","17,15",bfs,403,32,0.459,4
1,prim,"7,1","17,15",dfs,58,32,0.088,1
1,prim,"7,1","17,15",ucs,396,32,0.617,3
1,prim,"7,1","17,15",astar,146,32,0.242,2
2,prim,"34,5","37,27",bfs,840,69,0.508,2
2,prim,"34,5","37,27",dfs,2284,69,1.609,4
2,prim,"34,5","37,27",ucs,857,69,1.075,3
2,prim,"34,5","37,27",astar,382,69,0.550,1
3,prim,"1,5","13,14",bfs,336,33,0.228,2
3,prim,"1,5","13,14",dfs,1457,33,1.068,4
3,prim,"1,5","13,14",ucs,337,33,0.474,3
3,prim,"1,5","13,14",astar,178,33,0.274,1
4,prim,"38,1","35,12",bfs,95,24,0.142,2
4,prim,"38,1","35,12",dfs,2373,24,2.813,4
4,prim,"38,1","35,12",ucs,95,24,0.213,3
4,prim,"38,1","35,12",astar,55,24,0.141,1
5,prim,"41,44","34,26",bfs,2221,153,1.861,3
5,prim,"41,44","34,26",dfs,1308,153,1.226,1
5,prim,"41,44","34,26",ucs,2222,153,3.445,4
5,prim,"41,44","34,26",astar,1667,153,2.789,2
6,prim,"28,37","17,51",bfs,2464,149,1.565,4
6,prim,"28,37","17,51",dfs,1348,149,9.021,1
6,prim,"28,37","17,51",ucs,2461,149,7.526,3
6,prim,"28,37","17,51",astar,2357,149,5.380,2
7,prim,"0,48","10,44",bfs,1708,116,1.098,4
7,prim,"0,48","10,44",dfs,1692,116,1.267,2
7,prim,"0,48","10,44",ucs,1696,116,2.414,3
7,prim,"0,48","10,44",astar,571,116,0.894,1
8,prim,"21,17","9,13",bfs,749,32,0.498,3
8,prim,"21,17","9,13",dfs,2090,32,8.885,4
8,prim,"21,17","9,13",ucs,748,32,3.519,2
8,prim,"21,17","9,13",astar,188,32,0.594,1
9,prim,"21,6","5,24",bfs,1054,52,0.729,3
9,prim,"21,6","5,24",dfs,2248,52,1.711,4
9,prim,"21,6","5,24",ucs,1053,52,1.580,2
9,prim,"21,6","5,24",astar,279,52,0.501,1
10,prim,"22,54","22,38",bfs,1486,134,1.662,4
10,prim,"22,54","22,38",dfs,713,134,0.797,1
10,prim,"22,54","22,38",ucs,1463,134,2.817,3
10,prim,"22,54","22,38",astar,1109,134,2.205,2
11,prim,"2,46","29,34",bfs,1083,77,0.733,3
11,prim,"2,46","29,34",dfs,563,77,0.470,2
11,prim,"2,46","29,34",ucs,1083,77,1.619,4
11,prim,"2,46","29,34",astar,459,77,0.796,1
12,prim,"24,5","35,18",bfs,1360,90,1.553,2
12,prim,"24,5","35,18",dfs,1803,90,1.859,4
12,prim,"24,5","35,18",ucs,1377,90,2.613,3
12,prim,"24,5","35,18",astar,766,90,1.452,1
13,prim,"40,39","23,36",bfs,1833,126,1.305,3
13,prim,"40,39","23,36",dfs,1230,126,0.991,1
13,prim,"40,39","23,36",ucs,1842,126,2.809,4
13,prim,"40,39","23,36",astar,1384,126,2.368,2
14,prim,"4,2","42,14",bfs,1289,56,1.633,3
14,prim,"4,2","42,14",dfs,269,56,0.576,2
14,prim,"4,2","42,14",ucs,1289,56,2.943,4
14,prim,"4,2","42,14",astar,268,56,0.614,1
15,prim,"24,17","29,40",bfs,1965,112,2.339,3
15,prim,"24,17","29,40",dfs,1013,112,1.131,1
15,prim,"24,17","29,40",ucs,1969,112,4.137,4
15,prim,"24,17","29,40",astar,1255,112,2.600,2
16,prim,"23,10","23,22",bfs,1309,84,1.575,2
16,prim,"23,10","23,22",dfs,1744,84,2.080,4
16,prim,"23,10","23,22",ucs,1325,84,2.672,3
16,prim,"23,10","23,22",astar,1026,84,2.788,1
17,prim,"42,17","44,43",bfs,2444,164,1.556,3
17,prim,"42,17","44,43",dfs,1762,164,1.275,1
17,prim,"42,17","44,43",ucs,2451,164,3.431,4
17,prim,"42,17","44,43",astar,1890,164,3.203,2
18,prim,"4,38","40,10",bfs,1959,108,1.224,3
18,prim,"4,38","40,10",dfs,1699,108,1.275,2
18,prim,"4,38","40,10",ucs,1973,108,12.918,4
18,prim,"4,38","40,10",astar,1132,108,3.124,1
19,prim,"15,10","29,24",bfs,521,32,0.410,2
19,prim,"15,10","29,24",dfs,2386,32,2.079,4
19,prim,"15,10","29,24",ucs,537,32,0.872,3
19,prim,"15,10","29,24",astar,194,32,0.362,1
20,prim,"40,44","35,14",bfs,1355,101,1.238,2
20,prim,"40,44","35,14",dfs,1906,101,1.713,4
20,prim,"40,44","35,14",ucs,1382,101,2.396,3
20,prim,"40,44","35,14",astar,889,101,1.697,1
21,prim,"20,53","3,14",bfs,910,96,1.006,3
21,prim,"20,53","3,14",dfs,1088,96,1.195,4
